Name,Height,Situated,Latitude,Longitude
Говерла,2061.0,Черногора,48.16111111111111,24.5
Бребенескуль,2035.8,Черногора,48.098333333333336,24.580555555555556
Поп Иван Черногорский,2020.5,Черногора,48.047777777777775,24.62777777777778
Петрос,2022.5,Черногора,48.17194444444444,24.421111111111113
Гутин Томнатек,2016.4,Черногора,48.1,24.55666666666667
Ребра,2001.1,Черногора,48.111111111111114,24.558333333333334
Мунчель,1998.4,Черногора,48.09166666666667,24.59583333333333
Поп-Иван Мармарошский,1937.7,Мармарошский массив,47.92444444444444,24.32611111111111
